text,label
2 girls 1 cup,Hate-Speech
4r5e,Hate-Speech
5h1t,Hate-Speech
5hit,Hate-Speech
a_s_s,Hate-Speech
a55,Hate-Speech
Ammu Ammupappa குடுத்துட்டாங்கம்மா கொடுத்துட்டாங்க ,Non-Hate-Speech
anal,Hate-Speech
anus,Hate-Speech
apeshit,Hate-Speech
ar5e,Hate-Speech
arrse,Hate-Speech
arse,Hate-Speech
arsehole,Hate-Speech
ass,Hate-Speech
asses,Hate-Speech
assfucker,Hate-Speech
ass-fucker,Hate-Speech
assfukka,Hate-Speech
asshole,Hate-Speech
assholes,Hate-Speech
assmunch,Hate-Speech
asswhole,Hate-Speech
b!tch,Hate-Speech
b00bs,Hate-Speech
b17ch,Hate-Speech
b1tch,Hate-Speech
ball gag,Hate-Speech
ball kicking,Hate-Speech
ball licking,Hate-Speech
ball sack,Hate-Speech
ball sucking,Hate-Speech
ballbag,Hate-Speech
balls,Hate-Speech
ballsack,Hate-Speech
bangbros,Hate-Speech
bangbus,Hate-Speech
bareback,Hate-Speech
barely legal,Hate-Speech
barenaked,Hate-Speech
bastard,Hate-Speech
bastard,Hate-Speech
bastardo,Hate-Speech
bastinado,Hate-Speech
bbw,Hate-Speech
bdsm,Hate-Speech
beaner,Hate-Speech
beaners,Hate-Speech
beastial,Hate-Speech
beastiality,Hate-Speech
beastiality,Hate-Speech
beaver cleaver,Hate-Speech
beaver lips,Hate-Speech
bellend,Hate-Speech
bestial,Hate-Speech
bestiality,Hate-Speech
bestiality,Hate-Speech
bi+ch,Hate-Speech
biatch,Hate-Speech
big black,Hate-Speech
big breasts,Hate-Speech
big knockers,Hate-Speech
big tits,Hate-Speech
bimbos,Hate-Speech
birdlock,Hate-Speech
bitch,Hate-Speech
bitch,Hate-Speech
bitcher,Hate-Speech
bitchers,Hate-Speech
bitches,Hate-Speech
bitches,Hate-Speech
bitchin,Hate-Speech
bitching,Hate-Speech
black cock,Hate-Speech
blonde action,Hate-Speech
blonde on blonde action,Hate-Speech
bloody,Hate-Speech
blow job,Hate-Speech
blow your load,Hate-Speech
blowjob,Hate-Speech
blowjob,Hate-Speech
blowjobs,Hate-Speech
blue waffle,Hate-Speech
blumpkin,Hate-Speech
boiolas,Hate-Speech
bollock,Hate-Speech
bollocks,Hate-Speech
bollok,Hate-Speech
bondage,Hate-Speech
boner,Hate-Speech
boner,Hate-Speech
boob,Hate-Speech
boob,Hate-Speech
boobs,Hate-Speech
boobs,Hate-Speech
booobs,Hate-Speech
boooobs,Hate-Speech
booooobs,Hate-Speech
booooooobs,Hate-Speech
booty call,Hate-Speech
breasts,Hate-Speech
brown showers,Hate-Speech
brunette action,Hate-Speech
buceta,Hate-Speech
bugger,Hate-Speech
bukkake,Hate-Speech
bulldyke,Hate-Speech
bullet vibe,Hate-Speech
bullshit,Hate-Speech
bum,Hate-Speech
bung hole,Hate-Speech
bunghole,Hate-Speech
busty,Hate-Speech
butt,Hate-Speech
butt,Hate-Speech
buttcheeks,Hate-Speech
butthole,Hate-Speech
butthole,Hate-Speech
buttmuch,Hate-Speech
buttplug,Hate-Speech
c0ck,Hate-Speech
c0cksucker,Hate-Speech
camel toe,Hate-Speech
camgirl,Hate-Speech
camslut,Hate-Speech
camwhore,Hate-Speech
carpet muncher,Hate-Speech
carpetmuncher,Hate-Speech
cawk,Hate-Speech
chink,Hate-Speech
chocolate rosebuds,Hate-Speech
cialis,Hate-Speech
cipa,Hate-Speech
circlejerk,Hate-Speech
cl1t,Hate-Speech
cleveland steamer,Hate-Speech
